nom,prenom,role,from_date,to_date,birth_date,death_date,sycomore_id,url
Bottieau,"Emile, Anatole",Nord Groupe Centre droit,8 février 1871,7 mars 1876,12 septembre 1822,9 octobre 1887,1000,https://www2.assemblee-nationale.fr/sycomore/fiche/1000
Bottieau,"Emile, Anatole",Nord Groupe Union des Droites,4 octobre 1885,9 octobre 1887,12 septembre 1822,9 octobre 1887,1000,https://www2.assemblee-nationale.fr/sycomore/fiche/1000
Bouat,Armand,Lot Groupe Radical et radical-socialiste,11 mai 1924,31 mai 1928,31 mars 1873,11 août 1929,1003,https://www2.assemblee-nationale.fr/sycomore/fiche/1003
Bouat,Armand,Lot Groupe Républicain radical et radical-socialiste,29 avril 1928,11 août 1929,31 mars 1873,11 août 1929,1003,https://www2.assemblee-nationale.fr/sycomore/fiche/1003
Boucau,"Albert, Jean-Marie, Alexandre",Landes Groupe Union républicaine,2 juillet 1871,7 mars 1876,26 décembre 1826,24 juillet 1893,1004,https://www2.assemblee-nationale.fr/sycomore/fiche/1004
Boucau,"Albert, Jean-Marie, Alexandre",Landes Groupe Union républicaine,21 août 1881,14 octobre 1885,26 décembre 1826,24 juillet 1893,1004,https://www2.assemblee-nationale.fr/sycomore/fiche/1004
Boucau,"Albert, Jean-Marie, Alexandre",Landes Groupe Union des gauches,14 février 1886,14 octobre 1889,26 décembre 1826,24 juillet 1893,1004,https://www2.assemblee-nationale.fr/sycomore/fiche/1004
Boucher,"Henry, Hippolyte, Paul",Vosges,22 septembre 1889,14 octobre 1893,19 septembre 1847,1 février 1927,1008,https://www2.assemblee-nationale.fr/sycomore/fiche/1008
Boucher,"Henry, Hippolyte, Paul",Vosges,20 août 1893,31 mai 1898,19 septembre 1847,1 février 1927,1008,https://www2.assemblee-nationale.fr/sycomore/fiche/1008
Boucher,"Henry, Hippolyte, Paul",Vosges,8 mai 1898,31 mai 1902,19 septembre 1847,1 février 1927,1008,https://www2.assemblee-nationale.fr/sycomore/fiche/1008
Boucher,"Henry, Hippolyte, Paul",Vosges,27 avril 1902,31 mai 1906,19 septembre 1847,1 février 1927,1008,https://www2.assemblee-nationale.fr/sycomore/fiche/1008
Boucher,"Henry, Hippolyte, Paul",Vosges Groupe Progressiste,6 mai 1906,21 janvier 1909,19 septembre 1847,1 février 1927,1008,https://www2.assemblee-nationale.fr/sycomore/fiche/1008
Boucher,"Joseph, Marie",Finistère Groupe Union des Droites,4 octobre 1885,14 octobre 1889,23 septembre 1829,28 mars 1907,1009,https://www2.assemblee-nationale.fr/sycomore/fiche/1009
Boucher,"Joseph, Marie",Finistère Groupe Union des Droites,22 septembre 1889,14 octobre 1893,23 septembre 1829,28 mars 1907,1009,https://www2.assemblee-nationale.fr/sycomore/fiche/1009
Boucher,"Marcel, Emile, Auguste",Vosges Groupe Indépendants d'union républicaine et nationale,3 mai 1936,31 mai 1942,23 octobre 1891,19 novembre 1968,1010,https://www2.assemblee-nationale.fr/sycomore/fiche/1010
Boucheron,"Georges, Alphonse, Hubert",Seine Groupe Gauche sociale et radicale,29 avril 1928,31 mai 1932,25 décembre 1880,2 janvier 1946,1011,https://www2.assemblee-nationale.fr/sycomore/fiche/1011
Boucheron,"Georges, Alphonse, Hubert",Seine Groupe Gauche radicale,8 mai 1932,31 mai 1936,25 décembre 1880,2 janvier 1946,1011,https://www2.assemblee-nationale.fr/sycomore/fiche/1011
Dupuy,"Charles, Alexandre",Haute-Loire Groupe Union républicaine,18 octobre 1885,14 octobre 1889,5 novembre 1851,23 juillet 1923,10133,https://www2.assemblee-nationale.fr/sycomore/fiche/10133
Dupuy,"Charles, Alexandre",Haute-Loire Groupe Union républicaine,6 octobre 1889,14 octobre 1893,5 novembre 1851,23 juillet 1923,10133,https://www2.assemblee-nationale.fr/sycomore/fiche/10133
Dupuy,"Charles, Alexandre",Haute-Loire Groupe Union républicaine,20 août 1893,31 mai 1898,5 novembre 1851,23 juillet 1923,10133,https://www2.assemblee-nationale.fr/sycomore/fiche/10133
Dupuy,"Charles, Alexandre",Haute-Loire Groupe Républicains progressistes,8 mai 1898,29 juin 1900,5 novembre 1851,23 juillet 1923,10133,https://www2.assemblee-nationale.fr/sycomore/fiche/10133
Bouchet,Paul-Emile,Bouches-du-Rhône Groupe Union républicaine,7 janvier 1872,7 mars 1876,28 décembre 1840,,1015,https://www2.assemblee-nationale.fr/sycomore/fiche/1015
Bouchet,Paul-Emile,Bouches-du-Rhône Groupe Union républicaine,20 février 1876,25 juin 1877,28 décembre 1840,,1015,https://www2.assemblee-nationale.fr/sycomore/fiche/1015
Bouchet,Paul-Emile,Bouches-du-Rhône Groupe Union républicaine,14 octobre 1877,14 octobre 1881,28 décembre 1840,,1015,https://www2.assemblee-nationale.fr/sycomore/fiche/1015
Bouchet,Paul-Emile,Bouches-du-Rhône Groupe Gauche radicale,21 août 1881,14 octobre 1885,28 décembre 1840,,1015,https://www2.assemblee-nationale.fr/sycomore/fiche/1015
Bouctot,"Georges, Jacques, Pierre",Seine-Inférieure Groupe Union républicaine,22 mai 1898,31 mai 1902,29 juin 1855,27 février 1929,1016,https://www2.assemblee-nationale.fr/sycomore/fiche/1016
Bouctot,"Georges, Jacques, Pierre",Seine-Inférieure Groupe Républicains progressistes,27 avril 1902,31 mai 1906,29 juin 1855,27 février 1929,1016,https://www2.assemblee-nationale.fr/sycomore/fiche/1016
Bouctot,"Georges, Jacques, Pierre",Seine-Inférieure Groupe Progressiste,6 mai 1906,31 mai 1910,29 juin 1855,27 février 1929,1016,https://www2.assemblee-nationale.fr/sycomore/fiche/1016
Bouctot,"Georges, Jacques, Pierre",Seine-Inférieure Groupe Gauche démocratique,24 avril 1910,31 mai 1914,29 juin 1855,27 février 1929,1016,https://www2.assemblee-nationale.fr/sycomore/fiche/1016
Bouctot,"Georges, Jacques, Pierre",Seine-Inférieure Groupe Républicains de gauche,26 avril 1914,7 décembre 1919,29 juin 1855,27 février 1929,1016,https://www2.assemblee-nationale.fr/sycomore/fiche/1016
Bouctot,"Georges, Jacques, Pierre",Seine-Inférieure Groupe Républicains de gauche,22 avril 1928,27 février 1929,29 juin 1855,27 février 1929,1016,https://www2.assemblee-nationale.fr/sycomore/fiche/1016
Boudeau,"Elie, Isidore, Jean",Seine,6 octobre 1889,14 octobre 1893,4 février 1852,28 mai 1912,1017,https://www2.assemblee-nationale.fr/sycomore/fiche/1017
Boudenoot,"Louis, Charles, François",Pas-de-Calais Groupe Républicain,22 septembre 1889,14 octobre 1893,2 mai 1855,22 octobre 1922,1018,https://www2.assemblee-nationale.fr/sycomore/fiche/1018
Boudenoot,"Louis, Charles, François",Pas-de-Calais Groupe Républicain,20 août 1893,31 mai 1898,2 mai 1855,22 octobre 1922,1018,https://www2.assemblee-nationale.fr/sycomore/fiche/1018
