nom,prenom,role,from_date,to_date,birth_date,death_date,senat_id,url
ABEILLE,Valentin,Haute-Garonne,3 janvier 1897,30 juin 1902,14 février 1843,30 juin 1902,abeille_valentin0093r3,https://www.senat.fr/senateur-3eme-republique/abeille_valentin0093r3.html
ADAM,Gabriel,Seine-et-Marne,30 janvier 1876,6 août 1885,28 janvier 1800,6 août 1885,adam_gabriel1595r3,https://www.senat.fr/senateur-3eme-republique/adam_gabriel1595r3.html
ADAM,Gabriel,Seine-et-Marne,8 janvier 1882,,28 janvier 1800,6 août 1885,adam_gabriel1595r3,https://www.senat.fr/senateur-3eme-republique/adam_gabriel1595r3.html
ADNET,Jean,Hautes-Pyrénées,30 janvier 1876,7 janvier 1882,"4 décembre
1829",,adnet_jean1082r3,https://www.senat.fr/senateur-3eme-republique/adnet_jean1082r3.html
AGUILLON,Louis,Deux-Sèvres,15 mars 1903,10 janvier 1920,14 octobre 1851,5 mai 1928,aguillon_louis1636r3,https://www.senat.fr/senateur-3eme-republique/aguillon_louis1636r3.html
AGUILLON,Louis,Deux-Sèvres,3 janvier 1909,,14 octobre 1851,5 mai 1928,aguillon_louis1636r3,https://www.senat.fr/senateur-3eme-republique/aguillon_louis1636r3.html
AIMOND,Emile,Seine-et-Oise,3 janvier 1909,28 avril 1917,3 novembre 1850,28 avril 1917,aimond_emile1666r3,https://www.senat.fr/senateur-3eme-republique/aimond_emile1666r3.html
AJAM,Pierre,Sarthe,6 janvier 1924,8 janvier 1927,11 juin 1861,26 février 1944,ajam_pierre1240r3,https://www.senat.fr/senateur-3eme-republique/ajam_pierre1240r3.html
ALASSEUR,Gustave,Loiret,23 décembre 1900,6 janvier 1906,18 septembre 1843,3 juin 1916,alasseur_gustave0506r3,https://www.senat.fr/senateur-3eme-republique/alasseur_gustave0506r3.html
ALBERT,François,Vienne,11 janvier 1920,8 janvier 1927,4 avril 1877,23 novembre 1933,albert_francois1773r3,https://www.senat.fr/senateur-3eme-republique/albert_francois1773r3.html
ALBERTINI,Augustin,Hérault,2 avril 1939,31 décembre 1941,15 novembre 1890,27 novembre 1967,albertini_augustin0254r3,https://www.senat.fr/senateur-3eme-republique/albertini_augustin0254r3.html
