senat_id,nom,mandat_start,mandat_end
adam_gabriel1595r3,ADAM Gabriel,30 janvier 1876,Réélu le 8 janvier 1882
adam_gabriel1595r3,ADAM Gabriel,8 janvier 1882,6 août 1885
aguillon_louis1636r3,AGUILLON Louis,15 mars 1903,Réélu le 3 janvier 1909
aguillon_louis1636r3,AGUILLON Louis,3 janvier 1909,10 janvier 1920
alheritiere_henri0651r3,ALHERITIERE Henri,10 janvier 1939,21 octobre 1945
allegre_vincent0697r3,ALLEGRE Vincent,17 décembre 1882,Réélu le 21 octobre 1888
allegre_vincent0697r3,ALLEGRE Vincent,21 octobre 1888,Réélu le 3 janvier 1897
allegre_vincent0697r3,ALLEGRE Vincent,3 janvier 1897,18 mai 1899
allemand_clement0512r3,ALLEMAND Clément,10 mars 1891,Réélu le 3 janvier 1897
allemand_clement0512r3,ALLEMAND Clément,3 janvier 1897,27 mars 1900
amic_jean0117r3,AMIC Jean,30 juillet 1911,Réélu le 7 janvier 1912
amic_jean0117r3,AMIC Jean,7 janvier 1912,Réélu le 6 janvier 1921
amic_jean0117r3,AMIC Jean,6 janvier 1921,10 février 1926
andrieu_edouard1688r3,ANDRIEU Edouard,11 janvier 1920,Réélu le 9 janvier 1927
andrieu_edouard1688r3,ANDRIEU Edouard,9 janvier 1927,13 janvier 1936
anne_norbert0334r3,ANNE Norbert,18 octobre 1892,Réélu le 7 janvier 1894
anne_norbert0334r3,ANNE Norbert,7 janvier 1894,5 novembre 1894
arago_emmanuel1087r3,ARAGO Emmanuel,30 janvier 1876,Réélu le 8 janvier 1882
arago_emmanuel1087r3,ARAGO Emmanuel,8 janvier 1882,Réélu le 4 janvier 1891
arago_emmanuel1087r3,ARAGO Emmanuel,4 janvier 1891,Réélu le 13 mai 1849
arago_emmanuel1087r3,ARAGO Emmanuel,13 mai 1849,26 novembre 1896
arbel_lucien1344r3,ARBEL Lucien,30 janvier 1876,Réélu le 5 janvier 1879
arbel_lucien1344r3,ARBEL Lucien,5 janvier 1879,Réélu le 5 janvier 1879
arbel_lucien1344r3,ARBEL Lucien,5 janvier 1879,4 janvier 1888
armbruster_raymond0231r3,ARMBRUSTER Raymond,9 janvier 1927,Réélu le 14 janvier 1930
armbruster_raymond0231r3,ARMBRUSTER Raymond,14 janvier 1930,Réélu le 10 janvier 1939
armbruster_raymond0231r3,ARMBRUSTER Raymond,10 janvier 1939,21 octobre 1945
arnaudeau_eugene1758r3,ARNAUDEAU Eugène,2 décembre 1877,Réélu le 8 janvier 1882
arnaudeau_eugene1758r3,ARNAUDEAU Eugène,8 janvier 1882,Réélu le 8 janvier 1882
arnaudeau_eugene1758r3,ARNAUDEAU Eugène,8 janvier 1882,3 janvier 1891
astier_marcel0136r3,ASTIER Marcel,10 janvier 1939,21 octobre 1945
astier_placide0139r3,ASTIER Placide,2 octobre 1910,Réélu le 7 janvier 1912
astier_placide0139r3,ASTIER Placide,7 janvier 1912,Réélu le 20 mai 1906
astier_placide0139r3,ASTIER Placide,20 mai 1906,6 mars 1918
astor_joseph0814r3,ASTOR Joseph,13 avril 1890,Réélu le 7 janvier 1894
astor_joseph0814r3,ASTOR Joseph,7 janvier 1894,20 avril 1901
auber_joseph0851r3,AUBER Joseph,18 janvier 1920,Réélu le 9 janvier 1921
auber_joseph0851r3,AUBER Joseph,9 janvier 1921,5 juin 1928
audiffred_jean_honore1321r3,AUDIFFRED Jean-Honoré,30 décembre 1894,Réélu le 23 octobre 1904
audiffred_jean_honore1321r3,AUDIFFRED Jean-Honoré,23 octobre 1904,Réélu le 7 janvier 1906
audiffred_jean_honore1321r3,AUDIFFRED Jean-Honoré,7 janvier 1906,27 octobre 1917
audren_de_kerdrel_vincent0893r3,AUDREN DE KERDREL Vincent,30 janvier 1876,Réélu le 5 janvier 1879
audren_de_kerdrel_vincent0893r3,AUDREN DE KERDREL Vincent,5 janvier 1879,Réélu le 5 janvier 1888
audren_de_kerdrel_vincent0893r3,AUDREN DE KERDREL Vincent,5 janvier 1888,Réélu le 3 janvier 1897
audren_de_kerdrel_vincent0893r3,AUDREN DE KERDREL Vincent,3 janvier 1897,22 décembre 1899
auray_charles1351r3,AURAY Charles,9 janvier 1927,Réélu le 14 janvier 1936
auray_charles1351r3,AURAY Charles,14 janvier 1936,Réélu le 20 octobre 1935
auray_charles1351r3,AURAY Charles,20 octobre 1935,31 janvier 1938
babaud_lacroze_leonide0398r3,BABAUD-LACROZE Léonide,10 février 1929,Réélu le 14 janvier 1930
babaud_lacroze_leonide0398r3,BABAUD-LACROZE Léonide,14 janvier 1930,Réélu le 10 janvier 1939
babaud_lacroze_leonide0398r3,BABAUD-LACROZE Léonide,10 janvier 1939,21 octobre 1945
bachelet_alexandre1563r3,BACHELET Alexandre,9 janvier 1927,Réélu le 14 janvier 1936
bachelet_alexandre1563r3,BACHELET Alexandre,14 janvier 1936,31 décembre 1944
baduel_albert0360r3,BADUEL Albert,18 octobre 1891,Réélu le 7 janvier 1894
baduel_albert0360r3,BADUEL Albert,7 janvier 1894,3 janvier 1903
baillardel_de_lareinty_henri1271r3,BAILLARDEL DE LAREINTY Henri,30 janvier 1876,Réélu le 5 janvier 1879
baillardel_de_lareinty_henri1271r3,BAILLARDEL DE LAREINTY Henri,5 janvier 1879,Réélu le 5 janvier 1888
baillardel_de_lareinty_henri1271r3,BAILLARDEL DE LAREINTY Henri,5 janvier 1888,Réélu le 3 janvier 1897
baillardel_de_lareinty_henri1271r3,BAILLARDEL DE LAREINTY Henri,3 janvier 1897,9 mars 1901
barbey_edouard1693r3,BARBEY Edouard,8 janvier 1882,Réélu le 4 janvier 1891
barbey_edouard1693r3,BARBEY Edouard,4 janvier 1891,Réélu le 28 janvier 1900
barbey_edouard1693r3,BARBEY Edouard,28 janvier 1900,26 mars 1905
barbier_andre1813r3,BARBIER André,13 mai 1934,Réélu le 14 janvier 1936
barbier_andre1813r3,BARBIER André,14 janvier 1936,Réélu le 17 juin 1951
barbier_andre1813r3,BARBIER André,17 juin 1951,31 décembre 1944
barne_henry0321r3,BARNE Henry,5 janvier 1879,Réélu le 25 janvier 1885
barne_henry0321r3,BARNE Henry,25 janvier 1885,29 septembre 1893
barthe_marcel1046r3,BARTHE Marcel,8 janvier 1882,Réélu le 4 janvier 1891
barthe_marcel1046r3,BARTHE Marcel,4 janvier 1891,27 janvier 1900
barthou_louis1071r3,BARTHOU Louis,16 juillet 1922,Réélu le 9 janvier 1927
barthou_louis1071r3,BARTHOU Louis,9 janvier 1927,9 octobre 1934
bassinet_athanase1557r3,BASSINET Athanase,12 février 1899,Réélu le 28 janvier 1900
bassinet_athanase1557r3,BASSINET Athanase,28 janvier 1900,Réélu le 30 janvier 1909
bassinet_athanase1557r3,BASSINET Athanase,30 janvier 1909,12 février 1914
batbie_anselme0151r3,BATBIE Anselme,30 janvier 1876,Réélu le 5 janvier 1879
batbie_anselme0151r3,BATBIE Anselme,5 janvier 1879,12 juin 1887
baudin_pierre0016r3,BAUDIN Pierre,3 janvier 1909,Réélu le 7 janvier 1912
baudin_pierre0016r3,BAUDIN Pierre,7 janvier 1912,30 juillet 1917
baufle_maurice0680r3,BAUFLE Maurice,23 décembre 1934,Réélu le 10 janvier 1939
baufle_maurice0680r3,BAUFLE Maurice,10 janvier 1939,Réélu le 23 octobre 1938
baufle_maurice0680r3,BAUFLE Maurice,23 octobre 1938,21 octobre 1945
bazile_gaston0835r3,BAZILE Gaston,6 septembre 1931,Réélu le 10 janvier 1939
bazile_gaston0835r3,BAZILE Gaston,10 janvier 1939,Réélu le 29 avril 1928
bazile_gaston0835r3,BAZILE Gaston,29 avril 1928,21 octobre 1945
bazire_elphege1045r3,BAZIRE Elphège,24 juillet 1898,Réélu le 7 janvier 1906
bazire_elphege1045r3,BAZIRE Elphège,7 janvier 1906,10 mars 1917
beaumont_jean0050r3,BEAUMONT Jean,11 janvier 1920,Réélu le 9 janvier 1921
beaumont_jean0050r3,BEAUMONT Jean,9 janvier 1921,Réélu le 14 janvier 1930
beaumont_jean0050r3,BEAUMONT Jean,14 janvier 1930,Réélu le 10 janvier 1939
beaumont_jean0050r3,BEAUMONT Jean,10 janvier 1939,21 octobre 1945
beaupin_francois1237r3,BEAUPIN François,2 décembre 1900,Réélu le 7 janvier 1906
beaupin_francois1237r3,BEAUPIN François,7 janvier 1906,25 avril 1916
belle_antoine0299r3,BELLE Antoine,4 mars 1894,Réélu le 3 janvier 1897
belle_antoine0299r3,BELLE Antoine,3 janvier 1897,Réélu le 7 janvier 1906
belle_antoine0299r3,BELLE Antoine,7 janvier 1906,Réélu le 7 janvier 1906
belle_antoine0299r3,BELLE Antoine,7 janvier 1906,10 mars 1915
bels_adrien0083r4,BELS Adrien,15 novembre 1936,Réélu le 10 janvier 1939
bels_adrien0083r4,BELS Adrien,10 janvier 1939,21 octobre 1945
benard_leonus0852r3,BENARD Léonus,19 août 1928,Réélu le 14 janvier 1930
benard_leonus0852r3,BENARD Léonus,14 janvier 1930,Réélu le 10 janvier 1939
benard_leonus0852r3,BENARD Léonus,10 janvier 1939,Réélu le 27 octobre 1929
benard_leonus0852r3,BENARD Léonus,27 octobre 1929,21 octobre 1945
beral_eloi0609r3,BERAL Eloi,10 juin 1883,Réélu le 5 janvier 1888
beral_eloi0609r3,BERAL Eloi,5 janvier 1888,Réélu le 7 janvier 1906
beral_eloi0609r3,BERAL Eloi,7 janvier 1906,6 novembre 1908
berard_alexandre0019r3,BERARD Alexandre,9 février 1908,Réélu le 7 janvier 1912
berard_alexandre0019r3,BERARD Alexandre,7 janvier 1912,Réélu le 9 janvier 1921
berard_alexandre0019r3,BERARD Alexandre,9 janvier 1921,Réélu le 8 mai 1898
berard_alexandre0019r3,BERARD Alexandre,8 mai 1898,20 avril 1923
