mandature_id,mandature_name,mandature_start_date,mandature_end_date,mandature_wikidata_qid,person_id,last_name,first_name,birth_date,death_date,department,group,mandate_start_date,mandate_end_date,mandate_duration,institution,sycomore_id,senat_id,wikidata_qid
gouv_reynaud,Gouvernement Reynaud,1940-03-21 00:00:00,1940-06-16 00:00:00,,mény_1890-09-17,Mény,Jules,1890-09-17,1945-04-00,Sous-secrétaire d’État aux Fabricants de l’Air,,,,,gouvernement,,,Q3188815
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,allard_1860-05-01,Allard,"Maurice, Edouard, Eugène",1860-05-01,1942-11-27,Var,Socialistes parlementaires,1898-05-22,1902-05-31 00:00:00,1469.0,chambre,88.0,,Q3300310
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,allard_1860-05-01,Allard,"Maurice, Edouard, Eugène",1860-05-01,1942-11-27,Var,Socialistes parlementaires,1902-04-27 00:00:00,1906-05-31 00:00:00,1495.0,chambre,88.0,,Q3300310
chambre_9,IXe législature de la Troisième République,1906-06-01 00:00:00,1910-05-31 00:00:00,,allard_1860-05-01,Allard,"Maurice, Edouard, Eugène",1860-05-01,1942-11-27,Var,Socialistes unifiés,1906-05-06 00:00:00,1910-05-31 00:00:00,1486.0,chambre,88.0,,Q3300310
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,bonard_1855-03-31,Bonard,"Etienne, Alexandre",1855-03-31,2000-00-00,Rhône,Indépendants,1895-09-29,1898-05-31,975.0,chambre,926.0,,Q15973809
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,bonard_1855-03-31,Bonard,"Etienne, Alexandre",1855-03-31,2000-00-00,Rhône,Indépendants,1898-05-22,1902-05-31 00:00:00,1469.0,chambre,926.0,,Q15973809
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,bouchet_1840-12-28,Bouchet,Paul-Emile,1840-12-28,1918-07-01,Bouches-du-Rhône,Gauche radicale,1881-08-21,1885-10-14,1515.0,chambre,1015.0,,Q3588370
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,bougon_1850-02-10,Bougon,"Auguste, Marie",1850-02-10,1935-06-19,Oise,,1902-05-11 00:00:00,1902-06-30 00:00:00,50.0,chambre,1032.0,,Q2871084
chambre_3,IIIe législature de la Troisième République,1881-10-28,1885-11-09,,bousquet_1839-04-20,Bousquet,Victor,1839-04-20,1890-01-01,Gard,Union républicaine,1881-08-21,1885-10-14,1515.0,chambre,1115.0,,Q3557183
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,bousquet_1839-04-20,Bousquet,Victor,1839-04-20,1890-01-01,Gard,Union républicaine,1885-10-18,1889-10-14,1457.0,chambre,1115.0,,Q3557183
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,cardet_1856-03-02,Cardet,"Alexandre, Georges",1856-03-02,1941-00-00,Seine,Socialistes parlementaires,1902-05-11 00:00:00,1906-05-31 00:00:00,1481.0,chambre,1438.0,,Q15974130
chambre_4,IVe législature de la Troisième République,1885-11-10,1889-11-11,,cernesson_1831-01-28,Cernesson,"Léopold, Camille",1831-01-28,1889-06-18,Côte-d'Or,Gauche radicale,1888-03-11,1889-06-18,464.0,chambre,1577.0,,Q15974254
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,congy_1857-05-24,Congy,"Albert, Félix",1857-05-24,1929-02-05,Seine,Républicains nationalistes,1902-05-11 00:00:00,1906-05-31 00:00:00,1481.0,chambre,1938.0,,Q16025479
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,cros-bonnel_1855-05-10,Cros-Bonnel,Louis,1855-05-10,1925-04-05,Hérault,,1893-09-03,1898-05-31,1731.0,chambre,2076.0,,Q16025506
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,dasque_1860-01-25,Dasque,"Léopold, Alphonse",1860-01-25,2000-00-00,Hautes-Pyrénées,Non inscrit,1900-03-18 00:00:00,1902-05-31 00:00:00,804.0,chambre,2145.0,,Q16025705
chambre_8,VIIIe législature de la Troisième République,1902-06-01 00:00:00,1906-05-31 00:00:00,,dasque_1860-01-25,Dasque,"Léopold, Alphonse",1860-01-25,2000-00-00,Hautes-Pyrénées,Radical-socialiste,1902-04-27 00:00:00,1906-05-31 00:00:00,1495.0,chambre,2145.0,,Q16025705
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,demalvillain_1841-01-18,Demalvillain,Léonce,1841-01-18,1915-06-23,Ille-et-Vilaine,,1893-08-20,1893-09-13,24.0,chambre,2357.0,,Q3271580
chambre_6,VIe législature de la Troisième République,1893-10-15,1898-05-31,,dumas_1857-10-01,Dumas,"Julien, Pierre, Paul",1857-10-01,1910-04-21,Ariège,,1893-09-03,1898-05-31,1731.0,chambre,2692.0,,Q16025637
chambre_7,VIIe législature de la Troisième République,1898-06-01,1902-05-31 00:00:00,,dumas_1857-10-01,Dumas,"Julien, Pierre, Paul",1857-10-01,1910-04-21,Ariège,,1898-05-08,1902-05-31 00:00:00,1483.0,chambre,2692.0,,Q16025637
chambre_15,XVe législature de la Troisième République,1932-06-01 00:00:00,1936-05-31 00:00:00,,ferru_1905-05-13,Ferru,Henri,1905-05-13 00:00:00,2006-05-04,Deux-Sèvres,Républicain radical et radical-socialiste,1934-02-18 00:00:00,1936-05-31 00:00:00,833.0,chambre,2982.0,,Q16025697
