nom,prenom,legislature,role,from_date,to_date,birth_date,death_date,sycomore_id,url
Boucher,"Marcel, Emile, Auguste",XVIe législature,Vosges Groupe Indépendants d'union républicaine et nationale,3 mai 1936,31 mai 1942,23 octobre 1891,19 novembre 1968,1010,https://www2.assemblee-nationale.fr/sycomore/fiche/1010
Boudet,René,XIIIe législature,Allier Groupe Parti socialiste,11 mai 1924,31 mai 1928,10 septembre 1874,22 août 1965,1019,https://www2.assemblee-nationale.fr/sycomore/fiche/1019
Boudet,René,XIVe législature,Allier Groupe Parti socialiste,29 avril 1928,31 mai 1932,10 septembre 1874,22 août 1965,1019,https://www2.assemblee-nationale.fr/sycomore/fiche/1019
Boudet,René,XVe législature,Allier Groupe Parti socialiste,8 mai 1932,31 mai 1936,10 septembre 1874,22 août 1965,1019,https://www2.assemblee-nationale.fr/sycomore/fiche/1019
Boudet,René,XVIe législature,Allier Groupe Socialiste,3 mai 1936,31 mai 1942,10 septembre 1874,22 août 1965,1019,https://www2.assemblee-nationale.fr/sycomore/fiche/1019
Bouhey,"Jean, Baptiste, Georges",XVIe législature,Côte-d'Or Groupe Socialiste,3 mai 1936,31 mai 1942,23 octobre 1898,12 juin 1963,1037,https://www2.assemblee-nationale.fr/sycomore/fiche/1037
Bouhey,"Jean, Baptiste, Georges",Ire Assemblée nationale constituante,Côte-d'Or Groupe Socialiste,21 octobre 1945,10 juin 1946,23 octobre 1898,12 juin 1963,1037,https://www2.assemblee-nationale.fr/sycomore/fiche/1037
Bouhey,"Jean, Baptiste, Georges",2e Assemblée nationale constituante,Côte-d'Or Groupe Socialiste,2 juin 1946,27 novembre 1946,23 octobre 1898,12 juin 1963,1037,https://www2.assemblee-nationale.fr/sycomore/fiche/1037
Bouhey,"Jean, Baptiste, Georges",Ire législature,Côte-d'Or Groupe Socialiste,10 novembre 1946,4 juillet 1951,23 octobre 1898,12 juin 1963,1037,https://www2.assemblee-nationale.fr/sycomore/fiche/1037
Bouhey,"Jean, Baptiste, Georges",IIe législature,Côte-d'Or Groupe Socialiste,17 juin 1951,1 décembre 1955,23 octobre 1898,12 juin 1963,1037,https://www2.assemblee-nationale.fr/sycomore/fiche/1037
Bouhey,"Jean, Baptiste, Georges",IIIe législature,Côte-d'Or Groupe Socialiste,2 janvier 1956,8 décembre 1958,23 octobre 1898,12 juin 1963,1037,https://www2.assemblee-nationale.fr/sycomore/fiche/1037
Bouisson,"Fernand, Emile, Honoré",IXe législature,Bouches-du-Rhône Groupe Socialistes unifiés,14 mars 1909,31 mai 1910,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouisson,"Fernand, Emile, Honoré",Xe législature,Bouches-du-Rhône Groupe Parti socialiste,8 mai 1910,31 mai 1914,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouisson,"Fernand, Emile, Honoré",XIe législature,Bouches-du-Rhône Groupe Parti socialiste,26 avril 1914,7 décembre 1919,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouisson,"Fernand, Emile, Honoré",XIIe législature,Bouches-du-Rhône Groupe Parti socialiste,16 novembre 1919,31 mai 1924,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouisson,"Fernand, Emile, Honoré",XIIIe législature,Bouches-du-Rhône Groupe Parti socialiste,11 mai 1924,31 mai 1928,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouisson,"Fernand, Emile, Honoré",XIVe législature,Bouches-du-Rhône Groupe Parti socialiste,22 avril 1928,31 mai 1932,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouisson,"Fernand, Emile, Honoré",XVe législature,Bouches-du-Rhône Groupe Parti socialiste,1 mai 1932,31 mai 1936,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouisson,"Fernand, Emile, Honoré",XVIe législature,Bouches-du-Rhône Groupe Non inscrit,3 mai 1936,31 mai 1942,16 juin 1874,28 décembre 1959,1043,https://www2.assemblee-nationale.fr/sycomore/fiche/1043
Bouissoud,"Charles, Paul, Adolphe, Claudius",XIVe législature,Saône-et-Loire Groupe Républicains de gauche,22 avril 1928,31 mai 1932,30 juillet 1880,16 décembre 1942,1044,https://www2.assemblee-nationale.fr/sycomore/fiche/1044
Bouissoud,"Charles, Paul, Adolphe, Claudius",XVe législature,Saône-et-Loire Groupe Républicains de gauche,1 mai 1932,31 mai 1936,30 juillet 1880,16 décembre 1942,1044,https://www2.assemblee-nationale.fr/sycomore/fiche/1044
Bouissoud,"Charles, Paul, Adolphe, Claudius",XVIe législature,Saône-et-Loire Groupe Alliance des républicains de gauche et des radicaux indépendants,3 mai 1936,31 mai 1942,30 juillet 1880,16 décembre 1942,1044,https://www2.assemblee-nationale.fr/sycomore/fiche/1044
