mandat_id,mandature_id,personne_id,nom,prenom,role,from_date,to_date,source_personne,source
,gouv_ribot_4,,Abel,Jean-Baptiste,Ministre du Travail et de la Prévoyance sociale,,,,https://fr.wikipedia.org/wiki/Gouvernement_Alexandre_Ribot_(4)
,gouv_clemenceau_2,,Abrami,Léon,Sous-secrétaire d'État aux Effectifs militaires et aux Pensions,,,,https://fr.wikipedia.org/wiki/Gouvernement_Georges_Clemenceau_(2)
,gouv_doumergue_1,,Ajam,Maurice,"Sous-secrétaire d'État à la Marine, chargé de la Marine marchande",,,,https://fr.wikipedia.org/wiki/Gouvernement_Gaston_Doumergue_(1)
,gouv_viviani_1,,Ajam,Maurice,"Sous-secrétaire d'État à la Marine, chargé de la Marine marchande",,,,https://fr.wikipedia.org/wiki/Gouvernement_René_Viviani_(1)
,gouv_daladier_1,,Albert,François,Ministre du Travail et de la Prévoyance Sociale,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Daladier_(1)
,gouv_herriot_1,,Albert,François,Ministre de l’Instruction publique et des Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Herriot_(1)
,gouv_poincare_2,,Albert Leret d'Aubigny,Alain,Sous-secrétaire d’État aux Finances,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(2)
,gouv_clemenceau_2,,Albert-Favre,Ernest,Sous-secrétaire d’État à l'Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Georges_Clemenceau_(2)
,gouv_reynaud,,Albertin,Fabien,Sous-secrétaire d’État aux Travaux publics,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Reynaud
,gouv_petain,,Alibert,Raphaël,Sous-secrétaire d’État à la Présidence du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Philippe_Pétain
,gouv_brisson_1,,Allain-Targé,François,Ministre de l'Intérieur et des Cultes,,,,https://fr.wikipedia.org/wiki/Gouvernement_Henri_Brisson_(1)
,gouv_gambetta,,Allain-Targé,François,Ministre des Finances,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Gambetta
,gouv_chautemps_3,,Andraud,Henry,Sous-secrétaire d’État à l’Air,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(3)
,gouv_combes,,André,Louis,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Émile_Combes
,gouv_waldeck_rousseau,,André,Louis,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Waldeck-Rousseau
,gouv_briand_11,,Antériou,Louis,Ministre des Pensions,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(11)
,gouv_painleve_2,,Antériou,Louis,Ministre des Pensions,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(2)
,gouv_painleve_3,,Antériou,Louis,Ministre des Pensions,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(3)
,gouv_poincare_5,,Antériou,Louis,Ministre des Pensions,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(5)
,gouv_daladier_1,,Appell,Pierre,Sous-secrétaire d’État aux Travaux publics,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Daladier_(1)
,gouv_chautemps_1,,Archimbaud,Léon,Sous-secrétaire d’État aux Colonies,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(1)
,gouv_blum_1,,Aubaud,Raoul,Sous-secrétaire d’État à l'Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(1)
,gouv_blum_2,,Aubaud,Raoul,Sous-secrétaire d’État à l'Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(2)
,gouv_chautemps_3,,Aubaud,Raoul,Sous-secrétaire d’État à l'Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(3)
,gouv_chautemps_4,,Aubaud,Raoul,Sous-secrétaire d’État à l'Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(4)
