nom,departement,birth,death,senat_id
AUBRY Charles,Algérie (Constantine),22 juin 1853,27 février 1939,aubry_charles0694r3
BLUYSEN Paul,Ets Français de l'Inde,10 avril 1861,10 septembre 1928,bluysen_paul1835r3
CHAUVEAU Claude,Côte-d'Or,22 août 1861,27 février 1940,chauveau_claude0544r3
COLIN Maurice,Algérie (Alger),11 janvier 1859,9 septembre 1920,colin_maurice0839r3
CUTTOLI Paul,Algérie (Constantine),28 juin 1864,27 avril 1949,cuttoli_paul0695r3
DESBASSYNS de RICHEMONT Pierre,Ets Français de l'Inde,"29 janvier
1833",,desbassyns_de_richemont_pierre1828r3
DUROUX Jacques,Algérie (Alger),15 octobre 1878,9 septembre 1944,duroux_jacques0840r3
ETIENNE Eugène,Algérie (Oran),15 décembre 1844,13 mai 1921,etienne_eugene1824r3
FLANDIN Etienne,Ets Français de l'Inde,1er avril 1853,20 septembre 1922,flandin_etienne1832r3
FORCIOLI Dominique,Algérie (Constantine),6 avril 1838,9 novembre 1917,forcioli_dominique0691r3
GAEBELE Henri,Ets Français de l'Inde,10 mars 1860,,gaebele_henri1834r3
GASSER Jules,Algérie (Oran),11 avril 1865,28 mai 1958,gasser_jules0350r4
GERENTE Paul,Algérie (Alger),29 juillet 1851,5 juillet 1913,gerente_paul0838r3
GODIN Jules,Ets Français de l'Inde,14 mars 1844,21 décembre 1925,godin_jules1831r3
HUGOT Louis,Côte-d'Or,3 avril 1836,11 octobre 1907,hugot_louis0531r3
JACQUES Rémy,Algérie (Oran),"17 janvier
1817",,jacques_remy1822r3
JOIGNEAUX Pierre,Côte-d'Or,23 décembre 1815,26 janvier 1892,joigneaux_pierre0546r3
JOSSOT Pierre,Côte-d'Or,4 avril 1859,1er mai 1941,jossot_pierre0554r3
LACOMME Claude,Côte-d'Or,9 décembre 1815,13 octobre 1888,lacomme_claude0530r3
LE MOIGNIC Eugène,Ets Français de l'Inde,2 mai 1875,1er août 1947,le_moignic_eugene1836r3
LELIEVRE Ferdinand,Algérie (Alger),7 novembre 1799,27 décembre 1886,lelievre_ferdinand0836r3
LESUEUR Georges,Algérie (Constantine),"15 avril
1834",,lesueur_georges0692r3
LUCET Jacques,Algérie (Constantine),21 octobre 1816,10 juillet 1883,lucet_jacques0690r3
MALLARME André,Algérie (Alger),6 août 1877,8 avril 1956,mallarme_andre0841r3
MAUGUIN Alexandre,Algérie (Alger),30 janvier 1838,4 mars 1916,mauguin_alexandre0837r3
MAZEAU Charles,Côte-d'Or,1er septembre 1825,8 février 1905,mazeau_charles0538r3
MESSNER Ernest,Côte-d'Or,1er avril 1851,2 juillet 1914,messner_ernest0552r3
MONTENOT Auguste,Côte-d'Or,27 décembre 1859,1er mars 1936,montenot_auguste0533r3
PHILIPOT Anatole,Côte-d'Or,21 juin 1884,16 septembre 1923,philipot_anatole0532r3
PIOT Edme,Côte-d'Or,6 juillet 1828,3 novembre 1909,piot_edme0550r3
POMEL Nicolas,Algérie (Oran),"20 septembre
1821",,pomel_nicolas1821r3
RICARD Henri,Côte-d'Or,26 août 1849,20 mars 1910,ricard_henri0543r3
ROUX-FREISSINENG Pierre,Algérie (Oran),27 mai 1863,20 décembre 1952,roux_freissineng_pierre1827r3
SAINT-GERMAIN Marcel,Algérie (Oran),31 janvier 1853,8 février 1939,saint_germain_marcel1823r3
SAURIN Paul,Algérie (Oran),27 août 1870,13 octobre 1933,saurin_paul1826r3
SPULLER Eugène,Côte-d'Or,8 décembre 1835,23 juillet 1896,spuller_eugene0548r3
TREILLE Alcide,Algérie (Constantine),8 décembre 1844,14 janvier 1922,treille_alcide0693r3
VINCENT Emile,Côte-d'Or,27 juin 1871,20 octobre 1947,vincent_emile0534r3
