mandature_id,type,nom,from_date,to_date,wikidata_qid,sycomore_id,source
chambre_3,chambre,Chambre des députés IIIe législature,1881-10-28,1885-11-09,Q33756706,29,https://www2.assemblee-nationale.fr/sycomore/liste/29
chambre_4,chambre,Chambre des députés IVe législature,1885-11-10,1889-11-11,Q33756209,30,https://www2.assemblee-nationale.fr/sycomore/liste/30
chambre_5,chambre,Chambre des députés Ve législature,1889-11-12,1893-10-14,Q33755832,31,https://www2.assemblee-nationale.fr/sycomore/liste/31
chambre_6,chambre,Chambre des députés VIe législature,1893-10-15,1898-05-31,Q33755445,32,https://www2.assemblee-nationale.fr/sycomore/liste/32
chambre_7,chambre,Chambre des députés VIIe législature,1898-06-01,1902-05-31,Q33322771,33,https://www2.assemblee-nationale.fr/sycomore/liste/33
chambre_8,chambre,Chambre des députés VIIIe législature,1902-06-01,1906-05-31,Q33323082,34,https://www2.assemblee-nationale.fr/sycomore/liste/34
chambre_9,chambre,Chambre des députés IXe législature,1906-06-01,1910-05-31,Q33323183,35,https://www2.assemblee-nationale.fr/sycomore/liste/35
chambre_10,chambre,Chambre des députés Xe législature,1910-06-01,1914-05-31,Q33369535,36,https://www2.assemblee-nationale.fr/sycomore/liste/36
chambre_11,chambre,Chambre des députés XIe législature,1914-06-01,1919-12-07,Q33528422,37,https://www2.assemblee-nationale.fr/sycomore/liste/37
chambre_12,chambre,Chambre des députés XIIe législature,1919-12-08,1924-05-31,Q33724121,38,https://www2.assemblee-nationale.fr/sycomore/liste/38
chambre_13,chambre,Chambre des députés XIIIe législature,1924-06-01,1928-05-31,Q16683492,39,https://www2.assemblee-nationale.fr/sycomore/liste/39
chambre_14,chambre,Chambre des députés XIVe législature,1928-06-01,1932-05-31,Q33728280,40,https://www2.assemblee-nationale.fr/sycomore/liste/40
chambre_15,chambre,Chambre des députés XVe législature,1932-06-01,1936-05-31,Q16683508,41,https://www2.assemblee-nationale.fr/sycomore/liste/41
chambre_16,chambre,Chambre des députés XVIe législature,1936-06-01,1940-07-10,Q16683505,42,https://www2.assemblee-nationale.fr/sycomore/liste/42
senat_1879,senat,Élections sénatoriales françaises de 1879,1879-01-05,,Q97183536,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1882,senat,Élections sénatoriales françaises de 1882,1882-01-08,,Q111103097,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1885,senat,Élections sénatoriales françaises de 1885,1885-01-25,,Q56306075,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1888,senat,Élections sénatoriales françaises de 1888,1888-01-05,,Q111103098,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1891,senat,Élections sénatoriales françaises de 1891,1891-01-04,,Q111103099,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1894,senat,Élections sénatoriales françaises de 1894,1894-01-07,,Q67945020,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1897,senat,Élections sénatoriales françaises de 1897,1897-01-03,,Q67944206,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1900,senat,Élections sénatoriales françaises de 1900,1900-01-28,,Q28496159,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1903,senat,Élections sénatoriales françaises de 1903,1903-01-04,,Q35203776,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1906,senat,Élections sénatoriales françaises de 1906,1906-01-07,,Q111103101,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1909,senat,Élections sénatoriales françaises de 1909,1909-01-03,,Q111103102,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1912,senat,Élections sénatoriales françaises de 1912,1912-01-07,,Q36713863,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1920,senat,Élections sénatoriales françaises de 1920,1920-01-11,,Q111103103,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1921,senat,Élections sénatoriales françaises de 1921,1921-01-09,,Q28494844,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1924,senat,Élections sénatoriales françaises de 1924,1924-01-06,,Q28494840,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1927,senat,Élections sénatoriales françaises de 1927,1927-01-09,,Q28494841,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1929,senat,Élections sénatoriales françaises de 1929,1929-10-20,,Q28494842,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1932,senat,Élections sénatoriales françaises de 1932,1932-10-16,,Q28494845,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1935,senat,Élections sénatoriales françaises de 1935,1935-10-20,,Q28494839,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
senat_1938,senat,Élections sénatoriales françaises de 1938,1938-10-23,,Q28494838,,https://fr.wikipedia.org/wiki/S%C3%A9nat_(Troisi%C3%A8me_R%C3%A9publique)
gouv_gambetta,gouvernement,Gouvernement Gambetta,1881-11-14,1882-01-26,Q3112258,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_de_freycinet_2,gouvernement,Gouvernement de Freycinet II,1882-01-30,1882-07-29,Q3111970,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_duclerc,gouvernement,Gouvernement Duclerc,1882-08-07,1883-01-28,Q2242207,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_fallieres,gouvernement,Gouvernement Fallières,1883-01-29,1883-02-17,Q2448325,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_ferry_2,gouvernement,Gouvernement Ferry II,1883-02-21,1885-03-30,Q3112182,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_brisson_1,gouvernement,Gouvernement Brisson I,1885-04-06,1885-12-29,Q3112111,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_de_freycinet_3,gouvernement,Gouvernement de Freycinet III,1886-01-09,1886-12-05,Q3111971,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_goblet,gouvernement,Gouvernement Goblet,1886-12-11,1887-05-19,Q2161327,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_rouvier_1,gouvernement,Gouvernement Rouvier I,1887-05-31,1887-12-04,Q3112275,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_tirard_1,gouvernement,Gouvernement Tirard I,1887-12-11,1888-03-30,Q3112392,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_floquet,gouvernement,Gouvernement Floquet,1888-04-03,1889-02-14,Q2044828,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_tirard_2,gouvernement,Gouvernement Tirard II,1889-02-23,1890-03-14,Q3086877,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_de_freycinet_4,gouvernement,Gouvernement de Freycinet IV,1890-03-18,1892-02-20,Q21427344,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_loubet,gouvernement,Gouvernement Loubet,1892-02-27,1892-11-28,Q1837633,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_ribot_1,gouvernement,Gouvernement Ribot I,1892-12-06,1893-01-11,Q3111852,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_ribot_2,gouvernement,Gouvernement Ribot II,1893-01-11,1893-03-31,Q3111855,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_dupuy_1,gouvernement,Gouvernement Dupuy I,1893-04-04,1893-11-26,Q3111958,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_casimir_perier,gouvernement,Gouvernement Casimir-Perier,1893-12-03,1894-05-22,Q2657309,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_dupuy_2,gouvernement,Gouvernement Dupuy II,1894-05-30,1894-06-30,Q3111960,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_dupuy_3,gouvernement,Gouvernement Dupuy III,1894-07-02,1895-01-18,Q3111961,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_ribot_3,gouvernement,Gouvernement Ribot III,1895-01-26,1895-10-28,Q3111856,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_bourgeois,gouvernement,Gouvernement Bourgeois,1895-11-01,1896-04-23,Q3112260,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_méline,gouvernement,Gouvernement Méline,1896-04-29,1898-06-28,Q2211955,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_brisson_2,gouvernement,Gouvernement Brisson II,1898-06-28,1898-10-26,Q3112113,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_dupuy_4,gouvernement,Gouvernement Dupuy IV,1898-11-01,1899-02-18,Q3111963,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_dupuy_5,gouvernement,Gouvernement Dupuy V,1899-02-18,1899-06-12,Q3111962,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_waldeck_rousseau,gouvernement,Gouvernement Waldeck-Rousseau,1899-06-22,1902-06-03,Q2912866,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_combes,gouvernement,Gouvernement Combes,1902-06-07,1905-01-18,Q1829373,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_rouvier_2,gouvernement,Gouvernement Rouvier II,1905-01-24,1906-02-18,Q1720263,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_rouvier_3,gouvernement,Gouvernement Rouvier III,1906-02-18,1906-03-07,Q2426439,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_sarrien,gouvernement,Gouvernement Sarrien,1906-03-14,1906-10-20,Q2685396,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_clemenceau_1,gouvernement,Gouvernement Clemenceau I,1906-10-25,1909-07-20,Q3112064,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_1,gouvernement,Gouvernement Briand I,1909-07-24,1910-11-03,Q3111885,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_2,gouvernement,Gouvernement Briand II,1910-11-04,1911-02-27,Q3111889,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_monis,gouvernement,Gouvernement Monis,1911-03-02,1911-06-23,Q2194496,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_caillaux,gouvernement,Gouvernement Caillaux,1911-06-27,1912-01-14,Q2440172,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_poincare_1,gouvernement,Gouvernement Poincaré I,1912-01-14,1913-01-21,Q3112407,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_3,gouvernement,Gouvernement Briand III,1913-01-21,1913-02-18,Q3111891,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_4,gouvernement,Gouvernement Briand IV,1913-02-18,1913-03-22,Q3111893,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_barthou,gouvernement,Gouvernement Barthou,1913-03-22,1913-12-02,Q2431577,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_doumergue_1,gouvernement,Gouvernement Doumergue I,1913-12-22,1914-06-02,Q3112055,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_ribot_4,gouvernement,Gouvernement Ribot IV,1914-06-09,1914-06-12,Q3111859,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_viviani_1,gouvernement,Gouvernement Viviani I,1914-06-13,1914-08-26,Q3112418,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_viviani_2,gouvernement,Gouvernement Viviani II,1914-08-26,1915-10-28,Q1720449,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_5,gouvernement,Gouvernement Briand V,1915-10-29,1916-12-12,Q3111895,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_6,gouvernement,Gouvernement Briand VI,1916-12-12,1917-03-20,Q3111896,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_ribot_5,gouvernement,Gouvernement Ribot V,1917-03-20,1917-09-07,Q3111860,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_painleve_1,gouvernement,Gouvernement Painlevé I,1917-09-12,1917-11-13,Q290305,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_clemenceau_2,gouvernement,Gouvernement Clemenceau II,1917-11-16,1920-01-18,Q3112068,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_millerand_1,gouvernement,Gouvernement Millerand I,1920-01-20,1920-02-18,Q3111853,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_millerand_2,gouvernement,Gouvernement Millerand II,1920-02-18,1920-09-23,Q3111858,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_leygues,gouvernement,Gouvernement Leygues,1920-09-24,1921-01-07,Q3112069,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_7,gouvernement,Gouvernement Briand VII,1921-01-16,1922-01-12,Q3111897,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_poincare_2,gouvernement,Gouvernement Poincaré II,1922-01-15,1924-03-29,Q3112409,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_poincare_3,gouvernement,Gouvernement Poincaré III,1924-03-29,1924-06-01,Q3112411,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_francois-marsal,gouvernement,Gouvernement François-Marsal,1924-06-08,1924-06-10,Q2985797,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_herriot_1,gouvernement,Gouvernement Herriot I,1924-06-14,1925-04-10,Q3112686,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_painleve_2,gouvernement,Gouvernement Painlevé II,1925-04-17,1925-10-27,Q3112353,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_painleve_3,gouvernement,Gouvernement Painlevé III,1925-10-29,1925-11-22,Q3112355,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_8,gouvernement,Gouvernement Briand VIII,1925-11-28,1926-03-06,Q3111898,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_9,gouvernement,Gouvernement Briand IX,1926-03-09,1926-06-15,Q3111902,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_10,gouvernement,Gouvernement Briand X,1926-06-23,1926-07-17,Q3111886,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_herriot_2,gouvernement,Gouvernement Herriot II,1926-07-19,1926-07-21,Q3112683,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_poincare_4,gouvernement,Gouvernement Poincaré IV,1926-07-23,1928-11-06,Q3112412,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_poincare_5,gouvernement,Gouvernement Poincaré V,1928-11-11,1929-07-26,Q3112413,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_briand_11,gouvernement,Gouvernement Briand XI,1929-07-29,1929-10-22,Q3111887,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_tardieu_1,gouvernement,Gouvernement Tardieu I,1929-11-03,1930-02-17,Q3111874,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_chautemps_1,gouvernement,Gouvernement Chautemps I,1930-02-21,1930-02-25,Q3111941,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_tardieu_2,gouvernement,Gouvernement Tardieu II,1930-03-02,1930-12-04,Q643087,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_steeg,gouvernement,Gouvernement Steeg,1930-12-13,1931-01-22,Q2842193,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_laval_1,gouvernement,Gouvernement Laval I,1931-01-27,1931-06-13,Q3112376,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_laval_2,gouvernement,Gouvernement Laval II,1931-06-13,1932-01-12,Q3112379,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_laval_3,gouvernement,Gouvernement Laval III,1932-01-14,1932-02-06,Q3112382,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_tardieu_3,gouvernement,Gouvernement Tardieu III,1932-02-20,1932-06-03,Q3111872,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_herriot_3,gouvernement,Gouvernement Herriot III,1932-06-03,1932-12-14,Q3112687,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_paul_boncour,gouvernement,Gouvernement Paul-Boncour,1932-12-18,1933-01-28,Q2357748,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_daladier_1,gouvernement,Gouvernement Daladier I,1933-01-30,1933-10-24,Q972341,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_sarraut_1,gouvernement,Gouvernement Sarraut I,1933-10-26,1933-11-23,Q3111843,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_chautemps_2,gouvernement,Gouvernement Chautemps II,1933-11-26,1934-01-27,Q3111946,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
gouv_daladier_2,gouvernement,Gouvernement Daladier II,1934-01-30,1934-02-07,Q3112678,,https://fr.wikipedia.org/wiki/Liste_des_gouvernements_de_la_France#IIIe_R%C3%A9publique_(4_septembre_1870_%E2%80%94_10_juillet_1940)
