mandature_id,institution,mandature,mandature_start_date,mandature_end_date,wikidata_qid,person_id,last_name,first_name,birth_date,death_date,department,group,mandat_start_date,mandat_end_date,mandat_duration,sycomore_id,senat_id,wikidata_qid.1
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,loulay_1848-08-08,Loulay,Louis Roy de,1848-08-08,1911-07-27,Charente-Inférieure,Appel au peuple,1881-08-21,1885-10-14,1515.0,6173,,Q100420800
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,loulay_1848-08-08,Loulay,Louis Roy de,1848-08-08,1911-07-27,Charente-Inférieure,Union des Droites,1885-10-18,1889-10-14,1457.0,6173,,Q100420800
chambre_7,chambre,VIIe législature de la Troisième République,1898-06-01,1902-05-31,#REF!,loulay_1848-08-08,Loulay,Louis Roy de,1848-08-08,1911-07-27,Charente-Inférieure,Action libérale,1898-05-22,1902-05-31,1469.0,6173,,Q100420800
senat_1920,senat,Élections sénatoriales de 1920,1920-01-11,,#REF!,delsor_1847-10-05,DELSOR,Nicolas,1847-10-05,1927-12-20,Bas-Rhin,,1920-01-11,1927-01-08,2554.0,,delsor_nicolas1108r3,Q100974
senat_1900,senat,Élections sénatoriales de 1900,1900-01-29,,#REF!,dethil_1834-06-30,DETHIL,Camille,1834-06-30,1902-07-14,Tarn-et-Garonne,,1902-06-22,1902-07-14,22.0,,dethil_camille1725r3,Q1029162
chambre_7,chambre,VIIe législature de la Troisième République,1898-06-01,1902-05-31,#REF!,perreau_1866-03-13,Perreau,Camille,1866-03-13,1952-08-02,Bouches-du-Rhône,Républicain radical indépendant,1898-05-22,1902-05-31,1469.0,5806,,Q1029240
senat_1875,senat,Lois constitutionnelles de 1875,1875-12-09,,#REF!,scherer_1815-04-08,SCHERER,Edmond,1815-04-08,1889-03-16,Inamovible,,1875-12-15,1889-03-16,4840.0,,scherer_edmond1530r3,Q1033589
chambre_13,chambre,XIIIe législature de la Troisième République,1924-06-01,1928-05-31,#REF!,brom_1881-10-10,Brom,Joseph,1881-10-10,1945-01-15,Haut-Rhin,Démocrates,1924-05-11,1928-05-31,1481.0,1254,brom_joseph1111r3,Q104941
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,brom_1881-10-10,Brom,Joseph,1881-10-10,1945-01-15,Haut-Rhin,Démocrates populaires,1928-04-22,1932-05-31,1500.0,1254,brom_joseph1111r3,Q104941
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,brom_1881-10-10,Brom,Joseph,1881-10-10,1945-01-15,Haut-Rhin,Démocrate populaire,1932-05-01,1936-05-31,1491.0,1254,brom_joseph1111r3,Q104941
senat_1935,senat,Élections sénatoriales de 1935,1935-10-20,,#REF!,brom_1881-10-10,Brom,Joseph,1881-10-10,1945-01-15,Haut-Rhin,,1936-01-14,1944-12-31,3274.0,1254,brom_joseph1111r3,Q104941
chambre_12,chambre,XIIe législature de la Troisième République,1919-12-08,1924-05-31,#REF!,blanc_1858-05-12,Blanc,Antoine,1858-05-12,1931-01-19,Ain,Action républicaine et sociale,1919-11-16,1924-05-31,1658.0,844,,Q105906895
chambre_13,chambre,XIIIe législature de la Troisième République,1924-06-01,1928-05-31,#REF!,blanc_1858-05-12,Blanc,Antoine,1858-05-12,1931-01-19,Ain,Radical et radical-socialiste,1924-05-11,1928-05-31,1481.0,844,,Q105906895
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,freppel_1827-06-01,Freppel,Charles-Emile,1827-06-01,1891-12-22,Finistère,Union des Droites,1881-08-21,1885-10-14,1515.0,3148,,Q1063452
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,freppel_1827-06-01,Freppel,Charles-Emile,1827-06-01,1891-12-22,Finistère,Union des Droites,1885-10-04,1889-10-14,1471.0,3148,,Q1063452
chambre_5,chambre,Ve législature de la Troisième République,1889-11-12,1893-10-14,#REF!,freppel_1827-06-01,Freppel,Charles-Emile,1827-06-01,1891-12-22,Finistère,Union des Droites,1889-09-22,1891-12-22,821.0,3148,,Q1063452
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,costes_1813-01-09,Costes,"Thomas, Jean-Baptiste, François",1813-01-09,1886-03-20,Puy-de-Dôme,Centre gauche,1881-08-21,1885-10-14,1515.0,8212,,Q10643738
chambre_12,chambre,XIIe législature de la Troisième République,1919-12-08,1924-05-31,#REF!,courtial_1866-03-18,Courtial,Georges,1866-03-18,1932-07-03,Puy-de-Dôme,Républicains de gauche,1919-11-16,1924-05-31,1658.0,2034,,Q10643961
chambre_5,chambre,Ve législature de la Troisième République,1889-11-12,1893-10-14,#REF!,farjon_1850-01-25,Farjon,"Adrien, Vital",1850-01-25,1907-12-15,Puy-de-Dôme,Républicains progressistes,1889-09-22,1893-10-14,1483.0,2911,,Q10644147
chambre_6,chambre,VIe législature de la Troisième République,1893-10-15,1898-05-31,#REF!,farjon_1850-01-25,Farjon,"Adrien, Vital",1850-01-25,1907-12-15,Puy-de-Dôme,Républicains progressistes,1893-08-20,1898-05-31,1745.0,2911,,Q10644147
chambre_7,chambre,VIIe législature de la Troisième République,1898-06-01,1902-05-31,#REF!,farjon_1850-01-25,Farjon,"Adrien, Vital",1850-01-25,1907-12-15,Puy-de-Dôme,Républicains progressistes,1898-05-08,1902-05-31,1483.0,2911,,Q10644147
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,monteilhet_1812-03-20,Monteilhet,Louis,1812-03-20,1895-05-18,Rhône,Extrême-gauche,1883-05-20,1885-10-14,878.0,8229,,Q10644316
chambre_6,chambre,VIe législature de la Troisième République,1893-10-15,1898-05-31,#REF!,faure_1850-08-20,Faure,Alfred,1850-08-20,1939-04-21,Rhône,,1895-02-18,1898-05-31,1198.0,2921,,Q10645182
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,saint-férreol_1810-07-29,Saint-Férreol,"Amédée, Pierre, Ignace Martinon de",1810-07-29,1904-03-07,Haute-Loire,Union républicaine,1885-10-18,1889-10-14,1457.0,8044,,Q10645338
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Seine,Gauche radicale,1885-10-18,1889-10-14,1457.0,5905,pichon_stephen0429r3,Q1069292
chambre_5,chambre,Ve législature de la Troisième République,1889-11-12,1893-10-14,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Seine,Radical-socialiste,1889-10-06,1893-10-14,1469.0,5905,pichon_stephen0429r3,Q1069292
gouv_barthou,gouvernement,Gouvernement Barthou,1913-03-22,1913-12-02,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Ministre des Affaires étrangères,,,,,5905,pichon_stephen0429r3,Q1069292
gouv_briand_1,gouvernement,Gouvernement Briand I,1909-07-24,1910-11-03,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Ministre des Affaires étrangères,,,,,5905,pichon_stephen0429r3,Q1069292
gouv_briand_2,gouvernement,Gouvernement Briand II,1910-11-04,1911-02-27,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Ministre des Affaires étrangères,,,,,5905,pichon_stephen0429r3,Q1069292
gouv_clemenceau_1,gouvernement,Gouvernement Clemenceau I,1906-10-25,1909-07-20,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Ministre des Affaires étrangères,,,,,5905,pichon_stephen0429r3,Q1069292
gouv_clemenceau_2,gouvernement,Gouvernement Clemenceau II,1917-11-16,1920-01-18,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Ministre des Affaires étrangères,,,,,5905,pichon_stephen0429r3,Q1069292
senat_1906,senat,Élections sénatoriales de 1906,1906-01-07,,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Jura,,1906-01-07,1920-01-10,5116.0,5905,pichon_stephen0429r3,Q1069292
senat_1920,senat,Élections sénatoriales de 1920,1920-01-11,,#REF!,pichon_1857-08-10,Pichon,Stephen,1857-08-10,1933-09-18,Jura,,1920-01-11,1945-10-21,9415.0,5905,pichon_stephen0429r3,Q1069292
chambre_12,chambre,XIIe législature de la Troisième République,1919-12-08,1924-05-31,#REF!,castelnau_1851-12-24,Castelnau,"Edouard, Noël, Marie, Joseph de Curières de",1851-12-24,1944-03-18,Aveyron,Entente républicaine démocratique,1919-11-16,1924-05-31,1658.0,1508,,Q1079578
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,grumbach_1884-01-06,Grumbach,Salomon,1884-01-06,1952-07-13,Haut-Rhin,Parti socialiste,1928-04-29,1932-05-31,1493.0,3612,,Q108407
chambre_5,chambre,Ve législature de la Troisième République,1889-11-12,1893-10-14,#REF!,déroulède_1846-09-02,Déroulède,Paul,1846-09-02,1914-01-30,Charente,,1889-09-22,1893-06-22,1369.0,2409,,Q1094964
chambre_7,chambre,VIIe législature de la Troisième République,1898-06-01,1902-05-31,#REF!,déroulède_1846-09-02,Déroulède,Paul,1846-09-02,1914-01-30,Charente,,1898-05-08,1901-03-04,1030.0,2409,,Q1094964
chambre_3,chambre,IIIe législature de la Troisième République,1881-10-28,1885-11-09,#REF!,barodet_1823-07-27,Barodet,"Désiré, Jean",1823-07-27,1906-04-18,Seine,Union républicaine,1881-08-21,1885-10-14,1515.0,420,barodet_desire1412r3,Q1096310
chambre_4,chambre,IVe législature de la Troisième République,1885-11-10,1889-11-11,#REF!,barodet_1823-07-27,Barodet,"Désiré, Jean",1823-07-27,1906-04-18,Seine,Union républicaine,1885-10-04,1889-10-14,1471.0,420,barodet_desire1412r3,Q1096310
chambre_5,chambre,Ve législature de la Troisième République,1889-11-12,1893-10-14,#REF!,barodet_1823-07-27,Barodet,"Désiré, Jean",1823-07-27,1906-04-18,Seine,Radical-socialiste,1889-09-22,1893-10-14,1483.0,420,barodet_desire1412r3,Q1096310
chambre_6,chambre,VIe législature de la Troisième République,1893-10-15,1898-05-31,#REF!,barodet_1823-07-27,Barodet,"Désiré, Jean",1823-07-27,1906-04-18,Seine,Radical-socialiste,1893-08-20,1896-04-28,982.0,420,barodet_desire1412r3,Q1096310
senat_1894,senat,Élections sénatoriales de 1894,1894-01-07,,#REF!,barodet_1823-07-27,Barodet,"Désiré, Jean",1823-07-27,1906-04-18,Seine,,1896-04-12,1900-01-28,1385.0,420,barodet_desire1412r3,Q1096310
chambre_14,chambre,XIVe législature de la Troisième République,1928-06-01,1932-05-31,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Martinique,Parti socialiste,1928-04-22,1932-05-31,1500.0,3166,,Q1109027
chambre_15,chambre,XVe législature de la Troisième République,1932-06-01,1936-05-31,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Haute-Saône,Parti socialiste,1932-05-08,1936-05-31,1484.0,3166,,Q1109027
gouv_blum_2,gouvernement,Gouvernement Blum II,1938-03-13,1938-04-08,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre de la Propagande,,,,,3166,,Q1109027
gouv_bouisson,gouvernement,Gouvernement Bouisson,1935-06-01,1935-06-07,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre du Travail,,,,,3166,,Q1109027
gouv_chautemps_4,gouvernement,Gouvernement Chautemps IV,1938-01-18,1938-03-10,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministres d'État,,,,,3166,,Q1109027
gouv_daladier_3,gouvernement,Gouvernement Daladier III,1938-04-10,1939-05-11,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre des Travaux publics,,,,,3166,,Q1109027
gouv_laval_4,gouvernement,Gouvernement Laval IV,1935-06-07,1936-01-22,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre du Travail,,,,,3166,,Q1109027
gouv_petain,gouvernement,Gouvernement Pétain,1940-06-16,1940-07-10,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre des Travaux publics et de l’Information,,,,,3166,,Q1109027
gouv_reynaud,gouvernement,Gouvernement Reynaud,1940-03-21,1940-06-16,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre de l’Information,,,,,3166,,Q1109027
gouv_reynaud,gouvernement,Gouvernement Reynaud,1940-03-21,1940-06-16,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre des Travaux publics et des Transmissions,,,,,3166,,Q1109027
gouv_sarraut_2,gouvernement,Gouvernement Sarraut II,1936-01-24,1936-06-04,#REF!,frossard_1889-03-05,Frossard,Ludovic-Oscar,1889-03-05,1946-02-11,Ministre du Travail,,,,,3166,,Q1109027
